"project","scatteredVocabulary","confetti","homogeneous","intruder","snowFlakes","nearlyHomogeneous","fatBlob","tokens","classes","packages","maxDepth","maxChildren","maxChildrenRoot","maxDepthRoot","averageDepth","averageChildren","monoClasses","monoTokenClasses","multiTokenClasses","averageTokensPerMultiHierarchy","suspisciousTokens","hierarchies","multiTokenHierarchies","monoTokenMaxChildren","multiTokenMaxChildren"
"Bloc*","22.516556291390728","0.8771929824561403","62.913907284768214","6.725146198830409","0.29239766081871343","11.258278145695364","3.216374269005848","342","1194","20","6","138","Announcement","Announcement","3","20","6.867671691792294","46.06365159128978","44.72361809045226","6.1","36.84210526315789","151","37.086092715231786","39","138"
"Morphic*","29.629629629629626","0","40.74074074074074","0","0.7407407407407408","25.925925925925924","10.37037037037037","135","407","20","7","154","Morph","Morph","3","22","9.828009828009828","13.513513513513514","76.16707616707616","6.142857142857143","65.18518518518519","27","59.25925925925925","13","154"
"Kernel*","34.375","0","37.5","2.8368794326241136","0.7092198581560284","28.125","0.7092198581560284","141","338","10","6","100","TestAsserter","Collection","3","18","13.017751479289942","14.497041420118343","71.89349112426035","8.25","54.60992907801418","32","62.5","14","100"
"Spec2*","25.0","0","53.84615384615385","1.7241379310344827","0.5747126436781609","7.6923076923076925","7.471264367816093","174","794","26","8","265","Model","TestAsserter","4","35","3.6523929471032743","20.277078085642316","74.81108312342569","7.428571428571429","170.68965517241378","52","46.15384615384615","35","265"
"Roassal3*","50.0","0","12.5","0.7518796992481203","0","37.5","9.774436090225564","133","386","25","8","223","RSObject","Announcement","4","41","1.0362694300518136","2.849740932642487","93.26424870466322","17.0","169.9248120300752","8","87.5","11","223"
"Pillar*","37.5","0","37.5","0","0","25.0","0","44","76","2","8","53","PRBasicObject","PRBasicObject","3","10","3.9473684210526314","9.210526315789473","85.52631578947368","11.333333333333334","120.45454545454545","8","62.5","2","53"
"Collections*","55.55555555555556","0","11.11111111111111","1.1904761904761905","0","33.33333333333333","5.952380952380952","84","246","27","9","70","TestAsserter","TestAsserter","4","18","3.2520325203252036","0.8130081300813009","68.69918699186992","6.666666666666667","83.33333333333334","9","88.88888888888889","1","70"
"System*","29.268292682926827","0","46.34146341463415","4.324324324324325","0.5405405405405406","19.51219512195122","3.783783783783784","185","400","51","7","79","CmdCommand","TestAsserter","4","19","17.25","17.75","64.75","6.857142857142857","34.054054054054056","41","53.65853658536586","10","79"
"Math*","14.705882352941178","0","61.76470588235294","0.819672131147541","0","23.52941176470588","4.098360655737705","122","306","58","6","100","TestAsserter","Collection","3","16","11.437908496732026","30.065359477124183","58.496732026143796","4.6","42.62295081967213","34","38.23529411764706","19","100"
"OSWindow*","15.0","0","35.0","9.523809523809524","0","35.0","3.1746031746031744","63","234","5","9","71","OSEvent","OSWindowEventVisitor","5","18","6.837606837606838","43.162393162393165","50.0","6.6","101.58730158730158","20","65.0","71","65"
"PetitParser*","25.0","0","50.0","0","0","25.0","6.666666666666667","15","70","5","7","43","PPParser","Announcer","4","15","10.0","65.71428571428571","24.285714285714285","1.5","6.666666666666667","4","50.0","43","15"
"Moose*","36.58536585365854","0","46.34146341463415","2.7777777777777777","0.9259259259259258","12.195121951219512","5.092592592592593","216","469","58","7","101","TestAsserter","Announcer","4","17","16.844349680170577","15.351812366737741","66.09808102345416","7.3","58.79629629629629","41","53.65853658536586","10","101"

